IUPAC,Galectin-3 (20ug/ml) Slide:13619,Gal-3C (0.5ug/ml) Slide:15163,Gal-3C (2ug/ml) Slide:15156,Gal-3C (5ug/ml) Slide:15161,Gal-3C (20ug/ml) Slide:15157,Gal-3C (50ug/ml) Slide:15162,binding
Gal(b1-4)GlcNAc(b1-3)GalNAc(b1-Sp14,6.313875,21.04265,20.986225,26.483375,22.348575,14.622775,low
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,16.908625,9.1425,18.440025,17.049525,39.911025,43.5579,low
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,35.166875,27.9121,635.84015,1370.5596,6448.185,10090.34925,medium
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,12.897875,26.103475,338.757625,727.00475,2380.681275,6146.23625,medium
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp0,59.4746,10.72365,26.624175,42.865875,383.793,498.333175,low
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp8,3.711425,22.211025,34.53035,66.19605,276.5671,1010.4221,low
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc(a1-Sp8,7.4909,8.754225,16.6701,5.170325,15.746,42.739475,low
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc(b1-Sp14,21.1412,19.290225,14.284025,17.566925,19.03625,10.0032,low
Gal(b1-4)GlcNAc(b1-Sp0,21.03215,17.074275,18.333225,26.79395,11.55565,31.12125,low
Gal(b1-4)GlcNAc(b1-Sp8,5.6726,16.6074,9.39505,15.497125,22.342475,53.3306,low
Gal(b1-4)GlcNAc(b1-Sp23,10.264175,2.293775,7.78055,10.313275,9.487525,16.1589,low
Gal(b1-4)Glc(b1-Sp0,4.9656,15.6811,5.363075,22.587525,11.3142,23.044325,low
Gal(b1-4)Glc(b1-Sp8,8.419875,12.859625,6.690475,6.58995,7.936325,8.799325,low
GlcNAc(a1-3)Gal(b1-4)GlcNAc(b1-Sp8,2.3973,12.07435,7.560075,6.034125,26.156575,18.498675,low
GlcNAc(a1-6)Gal(b1-4)GlcNAc(b1-Sp8,4.1979,12.61365,17.17525,12.58045,18.23885,27.801975,low
GlcNAc(b1-2)Gal(b1-3)GalNAc(a1-Sp8,12.30315,23.5876,12.1343,20.7233,15.62745,11.364975,low
GlcNAc(b1-6)[GlcNAc(b1-3)]GalNAc(a1-Sp8,15.334375,5.276925,23.5998,12.62385,17.782825,16.704425,low
GlcNAc(b1-6)[GlcNAc(b1-3)]GalNAc(a1-Sp14,13.427125,11.7513,12.7923,11.686175,7.724575,25.165325,low
GlcNAc(b1-6)[GlcNAc(b1-3)]Gal(b1-4)GlcNAc(b1-Sp8,12.647525,11.586675,28.965825,8.130475,11.8269,13.178225,low
GlcNAc(b1-3)GalNAc(a1-Sp8,3.6232,6.21715,11.984075,12.862125,5.503475,20.408725,low
GlcNAc(b1-3)GalNAc(a1-Sp14,4.661,25.620775,8.449225,17.019425,10.416275,18.43345,low
GlcNAc(b1-3)Gal(b1-Sp8,8.049275,20.553075,8.389825,8.359375,4.49985,14.5335,low
GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,11.20255,19.8009,13.088325,31.252425,177.741775,321.891175,low
GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp8,18.560325,24.38795,20.2464,22.976275,209.0796,598.6347,low
GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,43.972225,41.57895,622.40515,1750.41365,7397.48935,13211.24538,medium
GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp0,1.822525,10.609625,13.20055,17.7725,16.974725,23.1232,low
GlcNAc(b1-MDPLys,5.36275,7.5513,8.3062,27.7222,17.662025,27.701175,low
GlcNAc(b1-6)[GlcNAc(b1-4)]GalNAc(a1-Sp8,4.181075,13.759025,15.27425,21.815625,22.075575,11.418625,low
GlcNAc(b1-4)Gal(b1-4)GlcNAc(b1-Sp8,6.885975,8.556875,7.773225,11.096725,14.84155,11.080375,low
GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp8,7.96345,22.7578,21.64805,19.14995,11.825625,12.238975,low
GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp8,2.799575,6.865275,7.9816,11.654075,13.8918,5.6115,low
GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp8,14.659025,9.858325,-1.65125,14.884925,10.415175,5.476475,low
GlcNAc(b1-6)GalNAc(a1-Sp8,14.0691,5.08175,21.84355,10.4823,27.3867,24.150725,low
GlcNAc(b1-6)GalNAc(a1-Sp14,0.514825,14.8061,11.22195,13.6483,6.65245,42.739075,low
GlcNAc(b1-6)Gal(b1-4)GlcNAc(b1-Sp8,11.97285,14.4695,5.055175,21.471025,19.033175,19.474525,low
Glc(a1-4)Glc(b1-Sp8,5.011,5.6154,10.248175,29.9704,17.568125,19.020075,low
Glc(a1-4)Glc(a1-Sp8,10.32645,12.188075,24.3985,18.411975,14.723125,21.942825,low
Glc(a1-6)Glc(a1-6)Glc(b1-Sp8,7.16285,7.657175,13.165925,39.788175,18.561075,25.1904,low
Glc(b1-4)Glc(b1-Sp8,7.8177,8.774625,13.859125,11.2008,19.497575,46.21615,low
Glc(b1-6)Glc(b1-Sp8,4.520775,13.3198,8.156575,11.5534,9.46205,23.97475,low
GlcA(a1-Sp8,6.1158,15.11465,6.968525,18.6333,20.432,8.7457,low
GlcA(b1-Sp8,12.024125,123.9121,93.663225,133.13755,111.41285,80.0269,low
GlcA(b1-3)Gal(b1-Sp8,6.2134,7.2788,6.5722,21.627,9.13925,6.9933,low
GlcA(b1-6)Gal(b1-Sp8,14.121375,14.61615,31.166225,6.2054,19.31935,31.274725,low
KDN(a2-3)Gal(b1-3)GlcNAc(b1-Sp0,14.9536,13.257175,15.988725,32.3967,21.3887,27.11125,low
KDN(a2-3)Gal(b1-4)GlcNAc(b1-Sp0,5.431,12.3979,18.798725,25.16455,26.306175,36.3191,low
Man(a1-2)Man(a1-2)Man(a1-3)Man(a1-Sp9,8.56645,13.0155,10.32785,9.262475,11.645,13.51535,low
Man(a1-2)Man(a1-6)[Man(a1-2)Man(a1-3)]Man(a1-Sp9,2.1477,12.768925,8.68485,14.348025,7.449375,16.356625,low
Man(a1-2)Man(a1-3)Man(a1-Sp9,10.56095,17.5978,19.508225,10.6562,15.405775,10.335725,low
Man(a1-6)[Man(a1-2)Man(a1-3)]Man(a1-6)[Man(a1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,3.7985,14.71175,5.2128,16.6115,12.3123,19.2557,low
Man(a1-2)Man(a1-6)[Man(a1-3)]Man(a1-6)[Man(a1-2)Man(a1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,4.189175,18.0453,18.31075,14.531325,16.510325,22.180025,low
Man(a1-2)Man(a1-6)[Man(a1-2)Man(a1-3)]Man(a1-6)[Man(a1-2)Man(a1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,9.4253,78.483625,55.653225,77.830975,74.481775,88.144,low
Man(a1-6)[Man(a1-3)]Man(a1-Sp9,3.56085,19.125275,22.3617,14.778225,8.613675,38.88625,low
Man(a1-2)Man(a1-2)Man(a1-6)[Man(a1-3)]Man(a1-Sp9,11.4845,14.072425,14.372375,34.56,32.33315,27.618275,low
Man(a1-6)[Man(a1-3)]Man(a1-6)[Man(a1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,14.294,151.418375,102.717875,170.4082,139.359075,167.34335,low
Man(a1-6)[Man(a1-3)]Man(a1-6)[Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,4.2154,13.5595,18.8945,19.345925,22.315625,25.680075,low
Man(b1-4)GlcNAc(b1-Sp0,19.130975,38.97085,6.25365,19.833075,23.865325,7.797375,low
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,15.2849,6.6146,5.934925,10.13015,12.941675,24.448875,low
(3S)Gal(b1-4)[Fuc(a1-3)](6S)GlcNAc(b1-Sp8,17.3693,5.353825,13.616825,39.749,18.164825,47.4294,low
Fuc(a1-2)(6S)Gal(b1-4)GlcNAc(b1-Sp0,22.422475,12.074275,13.2935,18.673425,29.010175,20.944925,low
Fuc(a1-2)Gal(b1-4)(6S)GlcNAc(b1-Sp8,7.606225,8.790875,12.062025,30.7395,68.684325,159.352725,low
Fuc(a1-2)(6S)Gal(b1-4)(6S)Glc(b1-Sp0,2.781675,15.9834,9.78035,11.091475,26.808175,13.1236,low
Neu5Ac(a2-3)Gal(b1-3)GalNAc(a1-Sp8,7.904725,12.68315,3.99355,20.994225,9.632875,8.9379,low
Neu5Ac(a2-3)Gal(b1-3)GalNAc(a1-Sp14,7.435775,10.696775,10.83735,6.7068,26.703475,8.737825,low
GalNAc(b1-4)[Neu5Ac(a2-8)Neu5Ac(a2-8)Neu5Ac(a2-8)Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp0,3.582675,10.650925,8.418875,26.8949,12.431275,22.59165,low
GalNAc(b1-4)[Neu5Ac(a2-8)Neu5Ac(a2-8)Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp0,8.224825,27.705125,35.779925,19.862975,16.143075,47.396025,low
Neu5Ac(a2-8)Neu5Ac(a2-8)Neu5Ac(a2-3)Gal(b1-4)Glc(b1-Sp0,1.33065,10.162725,4.756625,9.312725,24.293375,12.551925,low
GalNAc(b1-4)[Neu5Ac(a2-8)Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp0,7.013175,15.26205,12.0755,15.8287,4.90545,7.01515,low
Neu5Ac(a2-8)Neu5Ac(a2-8)Neu5Ac(a1-Sp8,7.016775,16.617725,10.16525,17.553775,7.1796,7.4539,low
Neu5Ac(a2-3)(6S)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8,9.405625,10.736725,6.177675,8.438225,19.430175,9.187175,low
GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)GlcNAc(b1-Sp0,9.99285,20.519925,28.439325,35.076825,17.1745,24.8662,low
GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)GlcNAc(b1-Sp8,6.2407,12.677625,19.28035,6.851725,18.552825,13.508175,low
GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp0,4.689475,4.851275,17.29935,18.2971,14.234425,25.6796,low
Neu5Ac(a2-3)Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp0,5.6207,27.32615,12.09245,10.592475,9.903475,56.89665,low
Neu5Ac(a2-6)[Neu5Ac(a2-3)]GalNAc(a1-Sp8,6.9237,12.5571,12.57205,17.7713,11.022775,5.08755,low
Neu5Ac(a2-3)GalNAc(a1-Sp8,2.928825,10.640275,9.985575,24.8173,17.3878,16.844375,low
Neu5Ac(a2-3)GalNAc(b1-4)GlcNAc(b1-Sp0,10.939225,19.949525,8.427425,13.7141,18.287825,27.41485,low
Neu5Ac(a2-3)Gal(b1-3)(6S)GlcNAc(c1-Sp8,19.494225,58.980775,29.7067,38.966925,28.73915,51.987425,low
Neu5Ac(a2-3)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,13.225775,20.0728,12.73795,26.2511,23.952025,31.782175,low
Neu5Ac(a2-3)Gal(b1-4)[Neu5Ac(a2-3)Gal(b1-3)]GlcNAc(b1-Sp8,10.2403,11.0966,18.261025,15.7292,9.619075,4.562275,low
Neu5Ac(a2-3)Gal(b1-3)(6S)GalNAc(a1-Sp8,3.402825,9.52275,7.9813,22.41105,5.7674,21.60645,low
Neu5Ac(a2-6)[Neu5Ac(a2-3)Gal(b1-3)]GalNAc(a1-Sp8,10.710375,11.3776,9.856125,3.883075,6.873975,7.7017,low
Neu5Ac(a2-6)[Neu5Ac(a2-3)Gal(b1-3)]GalNAc(a1-Sp14,23.932425,16.93305,11.6168,20.281375,15.4223,24.769625,low
Neu5Ac(a2-3)Gal(b1-Sp8,5.669175,10.876725,13.989675,23.470325,18.7318,9.658375,low
Neu5Ac(a2-3)Gal(b1-3)GalNAc(b1-3)Gal(a1-4)Gal(b1-4)Glc(b1-Sp0,13.107325,30.604675,7.19015,15.327225,17.4516,26.5776,low
Neu5Ac(a2-3)Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,8.054275,11.092775,28.967675,132.440975,529.0013,1073.987825,low
Fuc(a1-2)(6S)Gal(b1-4)Glc(b1-Sp0,15.4615,22.734975,21.241925,99.056375,17.197175,43.277425,low
Neu5Ac(a2-3)Gal(b1-3)GlcNAc(b1-Sp0,2.581875,29.3818,37.3143,42.666925,44.561575,44.95015,low
Neu5Ac(a2-3)Gal(b1-3)GlcNAc(b1-Sp8,6.838375,4.719075,10.03105,10.6738,9.007825,22.64745,low
Neu5Ac(a2-3)Gal(b1-4)(6S)GlcNAc(b1-Sp8,6.6751,22.60905,18.258375,10.88535,19.34905,37.79225,low
Neu5Ac(a2-3)Gal(b1-4)[Fuc(a1-3)](6S)GlcNAc(b1-Sp8,3.502975,9.647175,6.606125,15.22825,22.267375,14.987875,low
Neu5Ac(a2-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,5.997725,40.928,22.02125,41.409975,26.90235,48.305,low
Neu5Ac(a2-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,8.729025,9.51935,9.8872,12.431125,4.2251,28.6603,low
Neu5Ac(a2-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8,10.2278,4.472425,13.431825,10.174275,16.086075,9.42875,low
Neu5Ac(a2-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-Sp8,4.851,14.23405,11.46075,13.4747,0.8493,12.78255,low
Neu5Ac(a2-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp8,19.336125,26.266,33.48715,29.7265,30.32905,43.209675,low
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,39.506025,31.166375,231.4594,567.974175,2058.1129,5765.963125,medium
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-Sp0,1.809075,16.6996,19.12845,21.0747,21.9573,22.7994,low
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-Sp8,2.77015,15.4865,11.667275,14.76905,18.5684,24.831225,low
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,14.1209,9.94525,14.210575,20.186275,55.0353,78.29415,low
Fuc(a1-2)Gal(b1-4)(6S)Glc(b1-Sp0,6.249925,28.668025,17.41145,17.847475,20.316825,34.29315,low
Neu5Ac(a2-3)Gal(b1-4)Glc(b1-Sp0,5.339625,67.696675,51.234125,66.013075,60.78945,61.98835,low
Neu5Ac(a2-3)Gal(b1-4)Glc(b1-Sp8,5.59545,3.04825,4.9774,27.06215,15.731275,28.87665,low
Neu5Ac(a2-6)GalNAc(a1-Sp8,-1.8272,16.699025,6.308425,17.59065,3.2785,10.808825,low
Neu5Ac(a2-6)GalNAc(b1-4)GlcNAc(b1-Sp0,6.17515,5.678675,13.36905,7.846975,19.50095,15.583925,low
Neu5Ac(a2-6)Gal(b1-4)(6S)GlcNAc(b1-Sp8,23.405325,11.413175,12.02055,5.936975,1.31635,21.031625,low
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-Sp0,9.6621,28.268075,20.25815,10.317025,18.2068,19.720525,low
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-Sp8,8.70945,11.97155,9.66875,10.223125,18.06295,16.4181,low
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,5.619575,14.4253,20.1596,12.8198,19.123675,43.51255,low
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,7.97555,13.752575,52.50195,78.4228,286.87625,813.21515,low
Neu5Ac(a2-6)Gal(b1-4)Glc(b1-Sp0,11.156475,7.9447,9.60205,19.356925,21.91715,20.74505,low
Neu5Ac(a2-6)Gal(b1-4)Glc(b1-Sp8,4.931375,17.168775,7.571275,14.7346,7.86405,18.61155,low
Neu5Ac(a2-6)Gal(b1-Sp8,16.1453,20.810125,11.233275,18.500375,14.39705,13.88195,low
Neu5Ac(a2-8)Neu5Ac(a1-Sp8,17.21905,12.866325,10.220225,15.148925,13.01805,47.515875,low
Neu5Ac(a2-8)Neu5Ac(a2-3)Gal(b1-4)Glc(b1-Sp0,5.826,7.3357,4.434475,11.205425,11.374425,25.984275,low
Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-Sp0,3.736,14.099125,9.57065,19.308275,5.00435,32.54505,low
Neu5Ac(b2-6)GalNAc(a1-Sp8,4.97565,6.0888,9.7341,14.94415,4.151525,10.513075,low
Neu5Ac(b2-6)Gal(b1-4)GlcNAc(b1-Sp8,5.088875,8.12525,14.407625,20.843225,17.4757,19.587925,low
Neu5Gc(a2-3)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-Sp0,12.750475,26.154275,11.940375,19.431775,35.012525,14.938775,low
Neu5Gc(a2-3)Gal(b1-3)GlcNAc(b1-Sp0,10.1129,11.428025,29.076725,9.3122,20.095725,22.20825,low
Neu5Gc(a2-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,10.0601,15.81155,13.191675,27.74755,23.6913,28.56145,low
Neu5Gc(a2-3)Gal(b1-4)GlcNAc(b1-Sp0,4.213625,22.6808,9.078875,7.8797,32.202775,48.4912,low
Neu5Gc(a2-3)Gal(b1-4)Glc(b1-Sp0,1.978875,19.295925,14.91505,37.3919,20.172075,24.679925,low
Neu5Gc(a2-6)GalNAc(a1-Sp0,14.00085,8.14525,11.744975,21.650925,14.364875,6.9895,low
Neu5Gc(a2-6)Gal(b1-4)GlcNAc(b1-Sp0,5.43875,10.0513,24.487525,25.246575,21.333075,23.269825,low
Neu5Gc(a1-Sp8,24.47125,12.95915,21.8509,11.26195,17.244625,9.62265,low
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc(a1-Sp14,7.79605,10.850825,11.8718,21.444,17.0286,32.7085,low
Gal(b1-3)GlcNAc(b1-3)Gal(b1-3)GlcNAc(b1-Sp0,4.774825,19.07615,54.676425,142.145325,359.097025,1382.4072,low
Gal(b1-4)[Fuc(a1-3)](6S)GlcNAc(b1-Sp0,11.78285,39.744675,25.288875,34.446275,22.450175,54.0815,low
Gal(b1-4)[Fuc(a1-3)](6S)Glc(b1-Sp0,5.706775,22.045425,12.706575,24.528025,12.707775,40.645075,low
Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-Sp0,14.8684,14.330425,28.835925,28.318925,29.573325,24.5697,low
Gal(b1-4)GlcNAc(b1-3)Gal(b1-3)GlcNAc(b1-Sp0,4.794275,11.32735,74.004375,351.11705,1036.796775,2753.4359,low
Neu5Ac(a2-3)Gal(b1-3)GlcNAc(b1-3)Gal(b1-3)GlcNAc(b1-Sp0,6.714025,30.547275,42.193825,100.9488,504.81235,914.204725,low
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-3)GlcNAc(b1-Sp0,8.9706,15.825775,10.409375,42.79455,45.338875,49.773025,low
4S(3S)Gal(b1-4)GlcNAc(b1-Sp0,5.607775,15.0183,18.132875,7.91475,7.18155,9.815625,low
(6S)Gal(b1-4)(6S)GlcNAc(b1-Sp0,15.05385,10.024125,13.47255,16.780025,17.25455,53.35595,low
(6P)Glc(b1-Sp10,7.666975,14.511775,4.692775,13.994275,24.4811,11.809425,low
Neu5Ac(a2-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-6)[Gal(b1-3)]GalNAc(a1-Sp14,12.931925,29.716675,47.62805,29.921175,36.177925,46.588,low
Gal(b1-3)Gal(b1-4)GlcNAc(b1-Sp8,13.0525,6.5968,8.044475,12.573025,23.41745,20.27035,low
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,3.406425,26.008475,19.517175,17.088575,24.2132,15.619375,low
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]Gal(b1-4)GlcNAc(b1-Sp0,8.22505,24.58415,15.4929,24.9472,38.826625,50.37665,low
GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]Gal(b1-4)GlcNAc(b1-Sp0,8.547525,23.640025,22.3518,11.13425,35.10335,33.5404,low
Gal(b1-4)GlcNAc(a1-6)Gal(b1-4)GlcNAc(b1-Sp0,9.85035,10.27145,11.532425,18.917275,24.446925,27.933,low
Gal(b1-4)GlcNAc(b1-6)Gal(b1-4)GlcNAc(b1-Sp0,6.5867,15.1257,22.316425,14.068625,23.275275,48.4223,low
GalNAc(b1-3)Gal(b1-Sp8,8.1551,12.380825,14.631275,6.20425,8.2844,18.554075,low
GlcA(b1-3)GlcNAc(b1-Sp8,7.13275,15.554725,5.830425,17.00295,11.119625,36.41705,low
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,15.1215,25.487075,6.579125,23.52405,9.175175,11.547675,low
GlcNAc(b1-3)Man(b1-Sp10,4.1294,15.4121,14.9055,12.07595,12.39355,25.897025,low
GlcNAc(b1-4)GlcNAc(b1-Sp10,13.695225,8.68025,7.08095,13.7505,8.607625,12.74625,low
GlcNAc(b1-4)GlcNAc(b1-Sp12,4.354675,9.93815,9.1121,5.4671,4.8032,14.822725,low
